filename	bytes	sha256
genetic_map_GRCh37_chr1.txt.gz	2859886	249fb347fc13f888b6fbefc3ed3eb1a2ed75a0e4aba06ad520875e059f6a0b75
genetic_map_GRCh37_chr2.txt.gz	3154535	1eda1ce6ba47cc3988f3b878a7105ece6c59f625567939a29fae8cd6a28faecb
genetic_map_GRCh37_chr3.txt.gz	2471853	19f9da3fa9dc0608d5392d7ee718a6c5b33d0beb97e494124f0b73e266923cdd
genetic_map_GRCh37_chr4.txt.gz	2346274	e09183a6203d50f2afd69ee34357784d8a592cbf305fab725de6a59ec759428a
genetic_map_GRCh37_chr5.txt.gz	2383704	9ef47e3577f314c99339df8f84972d7aff016b4fe23901c601303c8215ea73a9
genetic_map_GRCh37_chr6.txt.gz	2561344	82a15967a3481bb4738ef9e1837b0bed90fa22fe976215e5d5bb8b633a1ba661
genetic_map_GRCh37_chr7.txt.gz	2045296	b23036208a985a80bf2348ccebb154db794f0576af5487a694e9c1435baf2bb6
genetic_map_GRCh37_chr8.txt.gz	2089094	d801ceee0e733809715106bfa07cffeda8248094df39d0d38c43ce7f81b29a3c
genetic_map_GRCh37_chr9.txt.gz	1759502	201e253da5c7b893223594bf333eb4f716d87374fcadd23d129252a2d6995c28
genetic_map_GRCh37_chr10.txt.gz	2012287	79a47059073ad39c132a1af6bc2ebacb2a0b863475e6469e2a308ad5dfb2cfb8
genetic_map_GRCh37_chr11.txt.gz	1864537	4fe3e08df50ef497cb5e998bb8d001e4f99cf9346a525d064173c4aae6b1b4bb
genetic_map_GRCh37_chr12.txt.gz	1847971	9bca24f53f1584c76f5fb053a7c6d27751f69f0bd2c69234f19b219b4bc21b05
genetic_map_GRCh37_chr13.txt.gz	1509205	12bed22f1d5e1c8fb5ae89e4d739c7adb541c1b81517d55695ea747822c1ab1f
genetic_map_GRCh37_chr14.txt.gz	1203479	1be88bac4f3e24256f5faa32a2ef2531493a8ea36a31d711388a3ab04b2e128b
genetic_map_GRCh37_chr15.txt.gz	1057188	839bcdb1d8f97926112c7a89b53d9b2b59ef6da7c8fb5491fa6ffd75afdbbf81
genetic_map_GRCh37_chr16.txt.gz	1062645	d26d3e4a2e11e07375a239fda796b687663563688116d69a674f980e9a8dac36
genetic_map_GRCh37_chr17.txt.gz	845341	9df23e592d6a9b1fa75a4b0afc800a84613e16be98a1f647e02d9d42f87d02ff
genetic_map_GRCh37_chr18.txt.gz	1139926	2d8834ad6c90dad15ef90d029cc8d234aa9e778d3cb6b5e2bfb8fa4c4a0c43ce
genetic_map_GRCh37_chr19.txt.gz	539494	c877ddf694b42feb3932f8cb7cc5e6811f931088b25f3e7e4a7f9f1f5e8bd474
genetic_map_GRCh37_chr20.txt.gz	930610	7bbfc01479287fd346d87d193cb10c037c7e1667006afc0192599c8f8b0e3f1c
genetic_map_GRCh37_chr21.txt.gz	506279	20509f365499d8ebf570feee1f16bd95aa6f66ec41705910cb2b26f86c5d8f3b
genetic_map_GRCh37_chr22.txt.gz	514307	057f35f9e53bcaca83b04fb9a4c76948f19b0f5cef0d88b548314b9670245d50
