replacement,fraction,n_pairs,detect_rate,median_abs_diff,median_abs_z,median_se_jackknife,median_se_bootstrap,se_ratio_boot_over_jack
equidistant,0.0,595,0.10448067226890757,0.0029666345679257716,0.7335170859419282,0.0036357509646559347,0.0036342895162448153,0.9900141383627112
equidistant,0.02,595,0.11148571428571429,0.0030613358080757713,0.7336542804930425,0.003635743472933963,0.00363387135759708,0.9899953642872956
equidistant,0.05,595,0.1255529411764706,0.003112481230440056,0.8346820414521147,0.0036357403465030547,0.003633250677752354,0.99001100056525
equidistant,0.1,595,0.15865882352941177,0.003648085210141011,0.9681070571707174,0.0036357567520089633,0.003632233701411722,0.9899191793231561
equidistant,0.133,595,0.1854016806722689,0.00419221858573629,1.1482551516924542,0.003635782370770077,0.003631574474625395,0.9900867884698523
equidistant,0.15,595,0.20161344537815126,0.004526059405637842,1.2479128353597608,0.0036358001555376373,0.0036312385903156663,0.9901022169699486
equidistant,0.2,595,0.25730756302521013,0.0055211518302129975,1.5261457062668318,0.0036358705309989595,0.0036302653473266446,0.9903662962982204
equidistant,0.3,595,0.3934319327731092,0.008039263671859295,2.168748797317279,0.0036360920911008144,0.0036354481375429548,0.9904386119605548
equidistant,0.4,595,0.5373915966386554,0.010477070719167508,2.8524217889837824,0.0036364212145865962,0.0036436919082949693,0.9903776155261286
equidistant,0.5,595,0.6680201680672269,0.01287695817436562,3.4638692490694547,0.003636857676589759,0.0036450748563819934,0.9904127410786385
equidistant,0.7,595,0.8555495798319328,0.0177253647003082,4.73281313400152,0.0036352671731509504,0.0036598506079632753,0.99005527825636
equidistant,1.0,595,0.9679226890756303,0.02470921718615742,6.613418039543168,0.003640641703002957,0.003662205641574726,0.9895140293759722
altai,0.0,595,0.10448067226890757,0.0029666345679257716,0.7335170859419282,0.0036357509646559347,0.0036342895162448153,0.9900141383627112
altai,0.02,595,0.12039663865546217,0.003107841843833739,0.8027784254043977,0.0036357403074285827,0.0036334566965817135,0.9900018178840951
altai,0.05,595,0.15865882352941177,0.003648085210141011,0.9681070571707174,0.0036357567520089633,0.003632233701411722,0.9899191793231561
altai,0.1,595,0.25730756302521013,0.0055211518302129975,1.5261457062668318,0.0036358705309989595,0.0036302653473266446,0.9903662962982204
altai,0.133,595,0.3446016806722689,0.007162977605744969,1.948209910989756,0.0036360046809937336,0.0036326725125965277,0.9905257373639479
altai,0.15,595,0.3934319327731092,0.008039263671859295,2.168748797317279,0.0036360920911008144,0.0036354481375429548,0.9904386119605548
altai,0.2,595,0.5373915966386554,0.010477070719167508,2.8524217889837824,0.0036364212145865962,0.0036436919082949693,0.9903776155261286
altai,0.3,595,0.775636974789916,0.01532243965847701,4.102673589384274,0.0036375624671476274,0.003652357360445055,0.9904989698814732
altai,0.4,595,0.909489075630252,0.020109527662326376,5.430287089082636,0.0036357333511466273,0.0036675449854715945,0.989821908188164
altai,0.5,595,0.9679226890756303,0.02470921718615742,6.613418039543168,0.003640641703002957,0.003662205641574726,0.9895140293759722
altai,0.7,595,0.9971226890756303,0.03383826246917597,9.138430120386385,0.003645575522342053,0.0036710101198846514,0.9889995627639615
altai,1.0,595,0.9999495798319328,0.047379080864261715,12.858368242973645,0.003667878770556357,0.0036828207972827024,0.9881284156881535
